# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 835K of event 'cycles:u'
# Event count (approx.): 518900282875
#
# Overhead  Command  Shared Object                   Symbol                                              
# ........  .......  ..............................  ....................................................
#
     0.01%  spindec  libgomp.so.1.0.0                [.] GOMP_doacross_ull_wait
     0.01%  spindec  libc.so.6                       [.] __libc_free
     0.01%  spindec  ld-linux-x86-64.so.2            [.] _dl_rtld_di_serinfo
     0.01%  spindec  libc.so.6                       [.] __write
     0.01%  spindec  mca_allocator_bucket.so         [.] mca_allocator_bucket_free
     0.01%  spindec  libopen-pal.so.40.30.2          [.] pthread_mutex_lock@plt
     0.01%  spindec  libc.so.6                       [.] __read
     0.01%  spindec  libnetcdf.so.19                 [.] memcpy@plt
     0.01%  spindec  spindec                         [.] __free_energy_MOD_bulk_free_energy
     0.01%  spindec  libnetcdf.so.19                 [.] px_pgout.isra.5
     0.01%  spindec  libmpi.so.40.30.3               [.] ompi_request_default_wait
     0.01%  spindec  libnetcdff.so.7.0.0             [.] __netcdf_MOD_nf90_put_var_2d_eightbytereal
     0.01%  spindec  libopen-pal.so.40.30.2          [.] pthread_mutex_unlock@plt
     0.01%  spindec  mca_pml_ob1.so                  [.] pthread_mutex_unlock@plt
     0.01%  spindec  libc.so.6                       [.] pthread_cond_init
     0.01%  spindec  libnetcdf.so.19                 [.] nc_get_NC
     0.01%  spindec  libc.so.6                       [.] calloc
     0.01%  spindec  libmpi_mpifh.so.40.30.0         [.] PMPI_Type_f2c@plt
     0.01%  spindec  mca_pml_ob1.so                  [.] pthread_mutex_lock@plt
     0.01%  spindec  spindec                         [.] omp_get_num_threads@plt
     0.01%  spindec  libc.so.6                       [.] __pthread_mutex_destroy
     0.01%  spindec  libmpi.so.40.30.3               [.] PMPI_Op_f2c
     0.01%  spindec  spindec                         [.] __free_energy_MOD_total_free_energy
     0.00%  spindec  libmpi_mpifh.so.40.30.0         [.] MPI_Sendrecv_f
     0.00%  spindec  libmpi.so.40.30.3               [.] pthread_mutex_lock@plt
     0.00%  spindec  libnetcdf.so.19                 [.] NC_crc64
     0.00%  spindec  libnetcdf.so.19                 [.] nc_utf8proc_decompose_char
     0.00%  spindec  libmpi.so.40.30.3               [.] pthread_mutex_unlock@plt
     0.00%  spindec  spindec                         [.] __potentials_MOD_total_potential
     0.00%  spindec  spindec                         [.] __cahn_hilliard_MOD_time_evolution_new
     0.00%  spindec  libc.so.6                       [.] brk
     0.00%  spindec  libgfortran.so.5.0.0            [.] _gfortran_select_string
     0.00%  spindec  libevent_core-2.1.so.7.0.1      [.] event_base_loop
     0.00%  spindec  libgfortran.so.5.0.0            [.] _gfortran_compare_string
     0.00%  spindec  libnetcdf.so.19                 [.] NC_hashmapfree
     0.00%  spindec  libmpi.so.40.30.3               [.] PMPI_Reduce
     0.00%  spindec  libnetcdf.so.19                 [.] lseek64@plt
     0.00%  spindec  mca_btl_vader.so                [.] mca_btl_vader_sendi
     0.00%  spindec  libgomp.so.1.0.0                [.] omp_get_thread_num
     0.00%  spindec  libnetcdf.so.19                 [.] NC_open
     0.00%  spindec  mca_pml_ob1.so                  [.] pthread_mutex_init@plt
     0.00%  spindec  libmpi_mpifh.so.40.30.0         [.] PMPI_Comm_f2c@plt
     0.00%  spindec  libnetcdf.so.19                 [.] putNCvx_double_double
     0.00%  spindec  mca_btl_vader.so                [.] pthread_mutex_unlock@plt
     0.00%  spindec  libmpi.so.40.30.3               [.] ompi_coll_base_reduce_generic
     0.00%  spindec  libnetcdf.so.19                 [.] ncx_howmany
     0.00%  spindec  spindec                         [.] __cahn_hilliard_MOD_del_q
     0.00%  spindec  libnetcdf.so.19                 [.] NC3_put_vara
     0.00%  spindec  libmpi.so.40.30.3               [.] MPI_Status_c2f
     0.00%  spindec  spindec                         [.] __cahn_hilliard_MOD_mobility
     0.00%  spindec  mca_pml_ob1.so                  [.] pthread_cond_init@plt
     0.00%  spindec  libmpi.so.40.30.3               [.] ompi_coll_base_reduce_intra_binary
     0.00%  spindec  libnetcdf.so.19                 [.] ncio_px_get
     0.00%  spindec  libnetcdf.so.19                 [.] read@plt
     0.00%  spindec  mca_coll_tuned.so               [.] ompi_coll_tuned_reduce_intra_do_this
     0.00%  spindec  libnetcdf.so.19                 [.] NC_infermodel
     0.00%  spindec  libgfortran.so.5.0.0            [.] _gfortran_random_r8
     0.00%  spindec  libnetcdf.so.19                 [.] __errno_location@plt
     0.00%  spindec  mca_btl_vader.so                [.] pthread_mutex_lock@plt
     0.00%  spindec  spindec                         [.] free@plt
     0.00%  spindec  libnetcdf.so.19                 [.] v1h_get_size_t
     0.00%  spindec  libnetcdf.so.19                 [.] v1h_get_NC_attrarray
     0.00%  spindec  mca_pml_ob1.so                  [.] mca_pml_ob1_recv_request_progress_match@plt
     0.00%  spindec  ld-linux-x86-64.so.2            [.] _dl_catch_error
     0.00%  spindec  mca_pml_ob1.so                  [.] ompi_sync_wait_mt@plt
     0.00%  spindec  libc.so.6                       [.] __sbrk
     0.00%  spindec  mca_allocator_bucket.so         [.] pthread_mutex_lock@plt
     0.00%  spindec  libnetcdf.so.19                 [.] nc_utf8proc_decompose_custom
     0.00%  spindec  libmpi_mpifh.so.40.30.0         [.] PMPI_Send@plt
     0.00%  spindec  mca_coll_tuned.so               [.] ompi_coll_tuned_reduce_intra_do_this@plt
     0.00%  spindec  mca_pml_ob1.so                  [.] opal_convertor_unpack@plt
     0.00%  spindec  libevent_core-2.1.so.7.0.1      [.] evutil_gettime_monotonic_@plt
     0.00%  spindec  mca_btl_vader.so                [.] mca_btl_vader_poll_handle_frag@plt
     0.00%  spindec  libopen-pal.so.40.30.2          [.] memcpy@plt
     0.00%  spindec  mca_pml_ob1.so                  [.] opal_convertor_prepare_for_send@plt
     0.00%  spindec  spindec                         [.] mpi_recv_@plt
     0.00%  spindec  libnetcdf.so.19                 [.] write@plt
     0.00%  spindec  mca_pml_ob1.so                  [.] opal_convertor_prepare_for_recv@plt
     0.00%  spindec  mca_pml_ob1.so                  [.] pthread_mutex_destroy@plt
     0.00%  spindec  libc.so.6                       [.] getenv
     0.00%  spindec  libc.so.6                       [.] clock_gettime
     0.00%  spindec  libc.so.6                       [.] __errno_location
     0.00%  spindec  [vdso]                          [.] __vdso_clock_gettime
     0.00%  spindec  ld-linux-x86-64.so.2            [.] _dl_mcount
     0.00%  spindec  libnetcdf.so.19                 [.] v1h_get_NC_string
     0.00%  spindec  mca_allocator_bucket.so         [.] mca_allocator_bucket_alloc@plt
     0.00%  spindec  libnetcdf.so.19                 [.] writeNCv
     0.00%  spindec  mca_btl_vader.so                [.] memcpy@plt
     0.00%  spindec  libnetcdff.so.7.0.0             [.] __netcdf_MOD_nf90_put_var_eightbytereal
     0.00%  spindec  libnetcdf.so.19                 [.] ncio_open
     0.00%  spindec  libnetcdf.so.19                 [.] ncx_get_size_t
     0.00%  spindec  mca_pml_ob1.so                  [.] pthread_cond_destroy@plt
     0.00%  spindec  libevent_core-2.1.so.7.0.1      [.] poll_dispatch
     0.00%  spindec  spindec                         [.] memset@plt
     0.00%  spindec  libnetcdff.so.7.0.0             [.] __netcdf_MOD_nf90_open
     0.00%  spindec  libevent_pthreads-2.1.so.7.0.1  [.] pthread_mutex_lock@plt
