# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 1M of event 'cycles:u'
# Event count (approx.): 811001034058
#
# Overhead  Command  Shared Object                   Symbol                                              
# ........  .......  ..............................  ....................................................
#
     0.00%  spindec  spindec                         [.] __cahn_hilliard_MOD_time_evolution_new
     0.00%  spindec  libnetcdf.so.19                 [.] nc_utf8proc_normalize_utf32
     0.00%  spindec  spindec                         [.] __free_energy_MOD_total_free_energy
     0.00%  spindec  libmpi.so.40.30.3               [.] PMPI_Comm_f2c
     0.00%  spindec  libnetcdff.so.7.0.0             [.] __netcdf_MOD_nf90_open
     0.00%  spindec  spindec                         [.] omp_get_thread_num@plt
     0.00%  spindec  spindec                         [.] __cahn_hilliard_MOD_mobility
     0.00%  spindec  libc.so.6                       [.] _IO_file_seekoff
     0.00%  spindec  libmpi_mpifh.so.40.30.0         [.] mpi_reduce_
     0.00%  spindec  libnetcdf.so.19                 [.] new_x_NC_var
     0.00%  spindec  libc.so.6                       [.] __pthread_mutex_lock
     0.00%  spindec  libc.so.6                       [.] __sbrk
     0.00%  spindec  libnetcdff.so.7.0.0             [.] free@plt
     0.00%  spindec  libnetcdf.so.19                 [.] NC_check_vlen
     0.00%  spindec  libnetcdf.so.19                 [.] v1h_get_NC_string
     0.00%  spindec  libnetcdf.so.19                 [.] nclistfree@plt
     0.00%  spindec  libc.so.6                       [.] __close
     0.00%  spindec  spindec                         [.] memset@plt
     0.00%  spindec  libmpi.so.40.30.3               [.] pthread_mutex_lock@plt
     0.00%  spindec  spindec                         [.] __potentials_MOD_total_potential
     0.00%  spindec  spindec                         [.] __cahn_hilliard_MOD_dq_dx
     0.00%  spindec  spindec                         [.] __io_MOD_write_netcdf_parts
     0.00%  spindec  libmpi_mpifh.so.40.30.0         [.] PMPI_Type_f2c@plt
     0.00%  spindec  libc.so.6                       [.] brk
     0.00%  spindec  libnetcdf.so.19                 [.] ncx_howmany
     0.00%  spindec  libnetcdff.so.7.0.0             [.] nf_put_var1_double_@plt
     0.00%  spindec  libnetcdff.so.7.0.0             [.] nf_inq_varid_@plt
     0.00%  spindec  libnetcdff.so.7.0.0             [.] __netcdf_MOD_nf90_put_var_eightbytereal
     0.00%  spindec  libnetcdff.so.7.0.0             [.] nf_close_@plt
     0.00%  spindec  libmpi_mpifh.so.40.30.0         [.] PMPI_Op_f2c@plt
     0.00%  spindec  libnetcdf.so.19                 [.] nc_utf8proc_decompose_custom
     0.00%  spindec  libc.so.6                       [.] __fxstat
     0.00%  spindec  libc.so.6                       [.] _IO_fread
     0.00%  spindec  libgfortran.so.5.0.0            [.] _gfortran_select_string
     0.00%  spindec  libnetcdff.so.7.0.0             [.] nf_put_vara_double_
     0.00%  spindec  libnetcdff.so.7.0.0             [.] __netcdf_nc_interfaces_MOD_addcnullchar
     0.00%  spindec  libnetcdff.so.7.0.0             [.] nc_inq_varid@plt
     0.00%  spindec  libnetcdf.so.19                 [.] ncx_howmany@plt
     0.00%  spindec  libnetcdf.so.19                 [.] ncio_px_rel
     0.00%  spindec  libnetcdf.so.19                 [.] v1h_get_NC_attrarray
     0.00%  spindec  libnetcdf.so.19                 [.] ncurifree@plt
     0.00%  spindec  libc.so.6                       [.] _IO_file_fopen
     0.00%  spindec  libnetcdf.so.19                 [.] nclistnew
     0.00%  spindec  libc.so.6                       [.] _IO_file_underflow
     0.00%  spindec  ld-linux-x86-64.so.2            [.] _dl_mcount
     0.00%  spindec  libc.so.6                       [.] __pthread_mutex_trylock
     0.00%  spindec  libnetcdff.so.7.0.0             [.] nf_put_vara_double_@plt
     0.00%  orted    libc.so.6                       [.] __nss_database_lookup
     0.00%  spindec  libnetcdf.so.19                 [.] locate.isra.1
     0.00%  spindec  libnetcdff.so.7.0.0             [.] __netcdf_MOD_nf90_close
     0.00%  spindec  libc.so.6                       [.] sysconf
     0.00%  spindec  libc.so.6                       [.] __nptl_death_event
     0.00%  spindec  libc.so.6                       [.] __open
     0.00%  spindec  libnetcdff.so.7.0.0             [.] nf_open_
     0.00%  spindec  libnetcdf.so.19                 [.] NC_findvar
     0.00%  spindec  libnetcdf.so.19                 [.] sysconf@plt
     0.00%  spindec  libnetcdf.so.19                 [.] free_NC_var
     0.00%  spindec  libc.so.6                       [.] _IO_free_backup_area
     0.00%  spindec  libnetcdf.so.19                 [.] ncio_get@plt
     0.00%  spindec  libnetcdf.so.19                 [.] ncx_get_size_t
     0.00%  spindec  libc.so.6                       [.] strspn
     0.00%  spindec  libc.so.6                       [.] _IO_file_write
     0.00%  spindec  libnetcdff.so.7.0.0             [.] memcpy@plt
     0.00%  spindec  libc.so.6                       [.] fclose
     0.00%  spindec  mca_pmix_pmix3x.so              [.] pmix_hash_table_get_value_ptr
     0.00%  spindec  libnetcdf.so.19                 [.] NC_infermodel@plt
     0.00%  spindec  ld-linux-x86-64.so.2            [.] _dl_catch_error
     0.00%  spindec  libnetcdf.so.19                 [.] ncio_rel@plt
     0.00%  spindec  spindec                         [.] GOMP_parallel@plt
     0.00%  spindec  libnetcdf.so.19                 [.] NC_hashmapnew
     0.00%  spindec  libnetcdf.so.19                 [.] nctypelen@plt
     0.00%  spindec  mca_coll_self.so                [.] opal_datatype_copy_content_same_ddt@plt
     0.00%  spindec  libnetcdf.so.19                 [.] fault_v1hs
     0.00%  spindec  libnetcdff.so.7.0.0             [.] nf_put_var1_double_
     0.00%  spindec  libc.so.6                       [.] strtoll_l
     0.00%  spindec  libnetcdf.so.19                 [.] nc_utf8proc_decompose_char@plt
     0.00%  spindec  spindec                         [.] free@plt
     0.00%  spindec  libgfortran.so.5.0.0            [.] memcmp@plt
     0.00%  spindec  libnetcdf.so.19                 [.] ncx_len_NC_attrarray
     0.00%  spindec  libnetcdf.so.19                 [.] find_in_NCList
     0.00%  spindec  libnetcdf.so.19                 [.] ncio_px_sync
     0.00%  spindec  libnetcdff.so.7.0.0             [.] _gfortran_string_len_trim@plt
     0.00%  spindec  libnetcdf.so.19                 [.] ncx_putn_double_double@plt
     0.00%  spindec  libmpi.so.40.30.3               [.] pthread_mutex_unlock@plt
     0.00%  spindec  libopen-pal.so.40.30.2          [.] memcpy@plt
     0.00%  spindec  libgfortran.so.5.0.0            [.] _gfortran_random_r8
     0.00%  spindec  libnetcdf.so.19                 [.] NC_varoffset.isra.1
     0.00%  spindec  libnetcdf.so.19                 [.] NC_var_shape
     0.00%  spindec  libnetcdf.so.19                 [.] nc_utf8proc_iterate@plt
     0.00%  spindec  libgfortran.so.5.0.0            [.] _gfortran_compare_string
     0.00%  spindec  libnetcdf.so.19                 [.] NC_findvar@plt
     0.00%  spindec  libnetcdf.so.19                 [.] ncio_get
     0.00%  spindec  libnetcdf.so.19                 [.] v1h_get_size_t
     0.00%  spindec  libc.so.6                       [.] _IO_puts
     0.00%  spindec  libnetcdf.so.19                 [.] fseek@plt
     0.00%  spindec  libnetcdf.so.19                 [.] NC3_inq_varid
     0.00%  spindec  libc.so.6                       [.] __underflow
     0.00%  spindec  libc.so.6                       [.] _IO_file_doallocate
     0.00%  spindec  libnetcdf.so.19                 [.] NCiocount.isra.2
     0.00%  spindec  libc.so.6                       [.] _IO_file_read
     0.00%  spindec  libnetcdff.so.7.0.0             [.] nc_open@plt
     0.00%  spindec  libnetcdf.so.19                 [.] nclistfreeall
     0.00%  spindec  libnetcdf.so.19                 [.] nclocate
     0.00%  spindec  libnetcdf.so.19                 [.] free_NC_string@plt
     0.00%  spindec  libgfortran.so.5.0.0            [.] _gfortran_string_len_trim
     0.00%  spindec  libc.so.6                       [.] strdup
     0.00%  orted    ld-linux-x86-64.so.2            [.] _dl_rtld_di_serinfo
     0.00%  spindec  libnetcdf.so.19                 [.] NC_hashmapget
     0.00%  spindec  libc.so.6                       [.] fseek
     0.00%  spindec  libnetcdf.so.19                 [.] memset@plt
     0.00%  spindec  libnetcdf.so.19                 [.] fileno@plt
     0.00%  spindec  libnetcdf.so.19                 [.] nclistnew@plt
     0.00%  spindec  libnetcdf.so.19                 [.] ncio_filesize@plt
     0.00%  spindec  libhwloc.so.15.5.2              [.] cpuid_or_from_dump
     0.00%  spindec  libnetcdf.so.19                 [.] ncx_get_off_t@plt
     0.00%  spindec  libnetcdf.so.19                 [.] new_x_NC_attr
     0.00%  spindec  libnetcdf.so.19                 [.] nc_inq_var
     0.00%  spindec  libnetcdf.so.19                 [.] NC_check_vlens
     0.00%  spindec  libnetcdf.so.19                 [.] nc_utf8proc_map_custom
     0.00%  spindec  libnetcdff.so.7.0.0             [.] nc_put_vara_double@plt
     0.00%  spindec  libnetcdf.so.19                 [.] fopen64@plt
     0.00%  spindec  libnetcdf.so.19                 [.] freestringlist
     0.00%  spindec  libc.so.6                       [.] _IO_link_in
     0.00%  spindec  libnetcdf.so.19                 [.] new_x_NC_dim
     0.00%  spindec  libnetcdff.so.7.0.0             [.] nc_put_var1_double@plt
     0.00%  spindec  libnetcdf.so.19                 [.] nctypelen
     0.00%  spindec  libnetcdf.so.19                 [.] close@plt
     0.00%  spindec  libnetcdf.so.19                 [.] nclistextract@plt
     0.00%  spindec  libnetcdf.so.19                 [.] free_NC_dimarrayV0@plt
     0.00%  spindec  libnetcdf.so.19                 [.] ncurifree
     0.00%  spindec  libnetcdf.so.19                 [.] NC_check_vlens@plt
     0.00%  spindec  libnetcdf.so.19                 [.] write_numrecs@plt
     0.00%  spindec  libnetcdf.so.19                 [.] readmagic
     0.00%  spindec  libnetcdf.so.19                 [.] free_NC_vararrayV0
     0.00%  spindec  libnetcdff.so.7.0.0             [.] nc_close@plt
     0.00%  spindec  libnetcdf.so.19                 [.] free_NC_dimarrayV@plt
     0.00%  spindec  libc.so.6                       [.] _IO_fgets
     0.00%  spindec  libc.so.6                       [.] _IO_file_finish
     0.00%  spindec  libnetcdf.so.19                 [.] posixio_open@plt
     0.00%  spindec  libnetcdff.so.7.0.0             [.] _gfortran_concat_string@plt
     0.00%  spindec  libnetcdff.so.7.0.0             [.] nf_inq_varid_
     0.00%  spindec  libnetcdf.so.19                 [.] ncio_rel
     0.00%  spindec  libc.so.6                       [.] _IO_file_overflow
     0.00%  spindec  libnetcdf.so.19                 [.] new_NC
     0.00%  spindec  libc.so.6                       [.] _IO_file_open
     0.00%  spindec  libnetcdf.so.19                 [.] ncx_get_size_t@plt
     0.00%  spindec  libnetcdf.so.19                 [.] NC_check_id
     0.00%  spindec  libnetcdf.so.19                 [.] free_NC_vararrayV
     0.00%  spindec  libnetcdf.so.19                 [.] free_NC@plt
     0.00%  spindec  libnetcdf.so.19                 [.] NC_calcsize@plt
     0.00%  spindec  libnetcdf.so.19                 [.] NC3_close
     0.00%  spindec  ld-linux-x86-64.so.2            [.] __nptl_change_stack_perm
     0.00%  spindec  libcrypto.so.1.1                [.] openssl_lh_strcasehash
     0.00%  spindec  libnetcdf.so.19                 [.] nc_get_default_format@plt
     0.00%  spindec  libnetcdf.so.19                 [.] ncio_open
     0.00%  spindec  libc.so.6                       [.] rewind
     0.00%  orted    ld-linux-x86-64.so.2            [.] __nptl_change_stack_perm
     0.00%  spindec  libnetcdf.so.19                 [.] nc_open
     0.00%  spindec  libnetcdf.so.19                 [.] free_NC_dim
     0.00%  spindec  libgfortran.so.5.0.0            [.] _gfortran_shape_4
     0.00%  spindec  libnetcdf.so.19                 [.] ncx_getn_schar_schar
     0.00%  orted    libhwloc.so.15.5.2              [.] cpuid_or_from_dump
     0.00%  spindec  libnetcdf.so.19                 [.] ncio_filesize
     0.00%  spindec  libc.so.6                       [.] _IO_file_seek
     0.00%  spindec  libnetcdf.so.19                 [.] new_NC_string@plt
     0.00%  spindec  libnetcdf.so.19                 [.] new_NC_string
     0.00%  spindec  libnetcdf.so.19                 [.] nc_utf8proc_encode_char@plt
     0.00%  spindec  libnetcdf.so.19                 [.] calloc@plt
     0.00%  spindec  libnetcdf.so.19                 [.] NC_put_vara
     0.00%  spindec  libnetcdf.so.19                 [.] ncx_getn_float_float
     0.00%  spindec  libopen-pal.so.40.30.2          [.] non_overlap_copy_content_same_ddt
     0.00%  spindec  libnetcdf.so.19                 [.] v1h_get_NCtype.constprop.10
     0.00%  spindec  libnetcdf.so.19                 [.] nc_close
     0.00%  spindec  libc.so.6                       [.] __libc_realloc
     0.00%  spindec  libnetcdf.so.19                 [.] NC_calcsize
     0.00%  spindec  libnetcdff.so.7.0.0             [.] malloc@plt
     0.00%  spindec  mca_coll_self.so                [.] mca_coll_self_reduce_intra
