# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 143K of event 'cycles:u'
# Event count (approx.): 129682211826
#
# Overhead  Command  Shared Object                   Symbol                                              
# ........  .......  ..............................  ....................................................
#
     0.04%  spindec  libc.so.6                       [.] __libc_malloc
     0.04%  spindec  libgomp.so.1.0.0                [.] omp_fulfill_event
     0.04%  spindec  libc.so.6                       [.] timer_settime
     0.04%  spindec  libnetcdf.so.19                 [.] NC_crc64
     0.03%  spindec  libnetcdff.so.7.0.0             [.] __netcdf_MOD_nf90_put_var_2d_eightbytereal
     0.03%  spindec  spindec                         [.] __free_energy_MOD_total_free_energy._omp_fn.2
     0.03%  spindec  libnetcdf.so.19                 [.] px_pgout.isra.5
     0.03%  spindec  spindec                         [.] __free_energy_MOD_total_free_energy._omp_fn.1
     0.03%  spindec  libc.so.6                       [.] __read
     0.03%  spindec  libc.so.6                       [.] __write
     0.03%  spindec  libnetcdf.so.19                 [.] memcpy@plt
     0.03%  spindec  libnetcdf.so.19                 [.] NC_infermodel
     0.03%  spindec  libc.so.6                       [.] calloc
     0.03%  spindec  libgomp.so.1.0.0                [.] omp_get_num_procs
     0.03%  spindec  spindec                         [.] __free_energy_MOD_total_free_energy._omp_fn.3
     0.02%  spindec  spindec                         [.] __cahn_hilliard_MOD_dm_dy._omp_fn.0
     0.02%  spindec  libnetcdf.so.19                 [.] nc_get_NC
     0.02%  spindec  spindec                         [.] __cahn_hilliard_MOD_dq_dy._omp_fn.0
     0.02%  spindec  libc.so.6                       [.] __libc_free
     0.02%  spindec  spindec                         [.] __free_energy_MOD_total_free_energy._omp_fn.0
     0.02%  spindec  spindec                         [.] __cahn_hilliard_MOD_del_q._omp_fn.3
     0.02%  spindec  spindec                         [.] __cahn_hilliard_MOD_del_q._omp_fn.0
     0.02%  spindec  libgomp.so.1.0.0                [.] GOMP_doacross_ull_wait
     0.01%  spindec  libnetcdf.so.19                 [.] nc_utf8proc_decompose_char
     0.01%  spindec  libmpi.so.40.30.3               [.] PMPI_Type_f2c
     0.01%  spindec  spindec                         [.] __potentials_MOD_total_potential._omp_fn.0
     0.01%  spindec  libnetcdf.so.19                 [.] NC_open
     0.01%  spindec  libgomp.so.1.0.0                [.] GOMP_parallel
     0.01%  spindec  libnetcdf.so.19                 [.] __errno_location@plt
     0.01%  spindec  libgfortran.so.5.0.0            [.] _gfortran_select_string
     0.01%  spindec  libmpi.so.40.30.3               [.] PMPI_Op_f2c
     0.01%  spindec  libnetcdf.so.19                 [.] ncio_px_get
     0.01%  spindec  spindec                         [.] __free_energy_MOD_total_free_energy
