# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 395K of event 'cycles:u'
# Event count (approx.): 223703469592
#
# Overhead  Command  Shared Object                   Symbol                                              
# ........  .......  ..............................  ....................................................
#
     0.02%  spindec  spindec                         [.] __free_energy_MOD_total_free_energy._omp_fn.1
     0.02%  spindec  spindec                         [.] __cahn_hilliard_MOD_dm_dy._omp_fn.0
     0.02%  spindec  mca_pml_ob1.so                  [.] mca_pml_ob1_irecv
     0.02%  spindec  spindec                         [.] __free_energy_MOD_total_free_energy._omp_fn.0
     0.02%  spindec  spindec                         [.] __potentials_MOD_total_potential._omp_fn.1
     0.02%  spindec  libnetcdff.so.7.0.0             [.] __netcdf_MOD_nf90_put_var_2d_eightbytereal
     0.02%  spindec  libnetcdf.so.19                 [.] px_pgout.isra.5
     0.02%  spindec  ld-linux-x86-64.so.2            [.] _dl_rtld_di_serinfo
     0.02%  spindec  libc.so.6                       [.] calloc
     0.01%  spindec  libgomp.so.1.0.0                [.] GOMP_single_copy_end
     0.01%  spindec  libmpi.so.40.30.3               [.] PMPI_Sendrecv
     0.01%  spindec  spindec                         [.] __potentials_MOD_total_potential._omp_fn.0
     0.01%  spindec  libmpi.so.40.30.3               [.] PMPI_Op_f2c
     0.01%  spindec  mca_allocator_bucket.so         [.] mca_allocator_bucket_free
     0.01%  spindec  spindec                         [.] __potentials_MOD_total_potential
     0.01%  spindec  spindec                         [.] __cahn_hilliard_MOD_del_q._omp_fn.3
     0.01%  spindec  spindec                         [.] __cahn_hilliard_MOD_del_q._omp_fn.1
     0.01%  spindec  libopen-pal.so.40.30.2          [.] pthread_mutex_lock@plt
     0.01%  spindec  libgomp.so.1.0.0                [.] GOMP_doacross_ull_wait
     0.01%  spindec  libgfortran.so.5.0.0            [.] _gfortran_select_string
     0.01%  spindec  libc.so.6                       [.] pthread_cond_signal
     0.01%  spindec  libgfortran.so.5.0.0            [.] _gfortran_compare_string
     0.01%  spindec  spindec                         [.] __free_energy_MOD_bulk_free_energy
     0.01%  spindec  mca_pml_ob1.so                  [.] pthread_mutex_lock@plt
     0.01%  spindec  libopen-pal.so.40.30.2          [.] pthread_mutex_unlock@plt
     0.01%  spindec  libc.so.6                       [.] __errno_location
     0.01%  spindec  libmpi_mpifh.so.40.30.0         [.] MPI_Sendrecv_f
     0.01%  spindec  libnetcdf.so.19                 [.] nc_get_NC
     0.01%  spindec  libnetcdf.so.19                 [.] NC_crc64
     0.01%  spindec  spindec                         [.] __cahn_hilliard_MOD_del_q
     0.01%  spindec  libc.so.6                       [.] brk
     0.01%  spindec  spindec                         [.] __cahn_hilliard_MOD_del_q._omp_fn.0
     0.01%  spindec  libnetcdf.so.19                 [.] NC_hashmapfree
     0.01%  spindec  mca_pml_ob1.so                  [.] pthread_mutex_unlock@plt
     0.01%  spindec  libnetcdf.so.19                 [.] ncio_px_get
     0.01%  spindec  libnetcdf.so.19                 [.] NC3_put_vara
     0.01%  spindec  libmpi.so.40.30.3               [.] pthread_mutex_unlock@plt
     0.01%  spindec  libnetcdf.so.19                 [.] write@plt
     0.01%  spindec  libmpi.so.40.30.3               [.] ompi_request_default_wait
     0.01%  spindec  libc.so.6                       [.] __pthread_mutex_destroy
     0.01%  spindec  libmpi_mpifh.so.40.30.0         [.] PMPI_Comm_f2c@plt
     0.01%  spindec  libmpi_mpifh.so.40.30.0         [.] PMPI_Type_f2c@plt
     0.01%  spindec  ld-linux-x86-64.so.2            [.] _dl_catch_error
     0.01%  spindec  libgomp.so.1.0.0                [.] omp_get_num_threads
     0.01%  spindec  spindec                         [.] __free_energy_MOD_total_free_energy
     0.01%  spindec  spindec                         [.] __cahn_hilliard_MOD_time_evolution_new
     0.01%  spindec  libmpi.so.40.30.3               [.] PMPI_Reduce
     0.01%  spindec  libgfortran.so.5.0.0            [.] memcmp@plt
     0.01%  spindec  libnetcdf.so.19                 [.] nc_utf8proc_decompose_char
     0.01%  spindec  libmpi.so.40.30.3               [.] pthread_mutex_lock@plt
     0.00%  spindec  libmpi.so.40.30.3               [.] ompi_coll_base_reduce_intra_binary
     0.00%  spindec  libnetcdf.so.19                 [.] nc_utf8proc_decompose_custom
     0.00%  spindec  libnetcdf.so.19                 [.] putNCvx_double_double
     0.00%  spindec  libevent_core-2.1.so.7.0.1      [.] event_base_loop
     0.00%  spindec  spindec                         [.] __cahn_hilliard_MOD_mobility
     0.00%  spindec  libmpi.so.40.30.3               [.] ompi_coll_base_reduce_generic
     0.00%  spindec  libnetcdf.so.19                 [.] ncio_px_rel
     0.00%  spindec  mca_btl_vader.so                [.] mca_btl_vader_poll_handle_frag@plt
     0.00%  spindec  libc.so.6                       [.] clock_gettime
     0.00%  spindec  libnetcdf.so.19                 [.] nc_utf8proc_normalize_utf32
     0.00%  spindec  libnetcdf.so.19                 [.] locate.isra.1
     0.00%  spindec  libgfortran.so.5.0.0            [.] _gfortran_random_r8
     0.00%  spindec  libnetcdf.so.19                 [.] NC_open
     0.00%  spindec  libmpi.so.40.30.3               [.] pthread_cond_destroy@plt
     0.00%  spindec  mca_pml_ob1.so                  [.] ompi_sync_wait_mt@plt
     0.00%  spindec  libnetcdf.so.19                 [.] __errno_location@plt
     0.00%  spindec  libc.so.6                       [.] _IO_link_in
     0.00%  spindec  libgomp.so.1.0.0                [.] omp_get_thread_num
     0.00%  spindec  mca_btl_vader.so                [.] mca_btl_vader_sendi
     0.00%  spindec  libnetcdf.so.19                 [.] ncio_rel@plt
     0.00%  spindec  libnetcdf.so.19                 [.] NC_infermodel
     0.00%  spindec  libopen-pal.so.40.30.2          [.] memcpy@plt
     0.00%  spindec  libevent_pthreads-2.1.so.7.0.1  [.] pthread_mutex_lock@plt
     0.00%  spindec  libmpi_mpifh.so.40.30.0         [.] mpi_reduce_
     0.00%  mpirun   libc.so.6                       [.] __default_morecore
     0.00%  spindec  libc.so.6                       [.] __sbrk
     0.00%  spindec  mca_pml_ob1.so                  [.] pthread_cond_init@plt
     0.00%  spindec  libnetcdf.so.19                 [.] v1h_get_NC_attrarray
     0.00%  spindec  spindec                         [.] omp_get_num_threads@plt
     0.00%  spindec  libmpi.so.40.30.3               [.] MPI_Status_c2f
     0.00%  spindec  libnetcdf.so.19                 [.] v1h_get_size_t
     0.00%  spindec  mca_pml_ob1.so                  [.] pthread_mutex_init@plt
     0.00%  spindec  libc.so.6                       [.] psiginfo
     0.00%  spindec  libnetcdf.so.19                 [.] lseek64@plt
     0.00%  spindec  libnetcdff.so.7.0.0             [.] _gfortran_string_len_trim@plt
     0.00%  spindec  mca_coll_tuned.so               [.] ompi_coll_tuned_reduce_intra_do_this@plt
     0.00%  spindec  libnetcdf.so.19                 [.] ncx_len_NC
     0.00%  spindec  spindec                         [.] omp_get_thread_num@plt
     0.00%  spindec  libnetcdf.so.19                 [.] ncx_howmany
     0.00%  spindec  mca_pml_ob1.so                  [.] opal_convertor_prepare_for_recv@plt
     0.00%  spindec  libmpi_mpifh.so.40.30.0         [.] PMPI_Status_c2f@plt
     0.00%  spindec  [vdso]                          [.] __vdso_clock_gettime
     0.00%  spindec  mca_allocator_bucket.so         [.] mca_allocator_bucket_alloc@plt
     0.00%  mpirun   libc.so.6                       [.] __nss_database_lookup
     0.00%  spindec  libnetcdf.so.19                 [.] ncx_get_size_t
     0.00%  spindec  spindec                         [.] free@plt
     0.00%  spindec  libnetcdff.so.7.0.0             [.] nc_put_vara_double@plt
     0.00%  spindec  libnetcdf.so.19                 [.] NC_hashmapadd
     0.00%  spindec  spindec                         [.] GOMP_parallel@plt
     0.00%  spindec  libnetcdf.so.19                 [.] nc_utf8proc_encode_char@plt
     0.00%  spindec  mca_allocator_bucket.so         [.] pthread_mutex_unlock@plt
     0.00%  spindec  libnetcdff.so.7.0.0             [.] __netcdf_nc_interfaces_MOD_addcnullchar
     0.00%  spindec  ld-linux-x86-64.so.2            [.] _dl_mcount
     0.00%  spindec  libnetcdf.so.19                 [.] ncio_get@plt
     0.00%  spindec  mca_btl_vader.so                [.] pthread_mutex_lock@plt
     0.00%  spindec  libopen-pal.so.40.30.2          [.] opal_hash_table_get_value_ptr
     0.00%  spindec  libnetcdff.so.7.0.0             [.] __netcdf_MOD_nf90_open
     0.00%  spindec  libnetcdf.so.19                 [.] NC_check_vlens
     0.00%  spindec  libnetcdff.so.7.0.0             [.] nf_put_vara_double_@plt
     0.00%  spindec  libnetcdf.so.19                 [.] new_x_NC_var
     0.00%  spindec  libc.so.6                       [.] rewind
     0.00%  spindec  libnetcdff.so.7.0.0             [.] nf_close_@plt
     0.00%  mpirun   ld-linux-x86-64.so.2            [.] _dl_mcount
     0.00%  spindec  spindec                         [.] mpi_recv_@plt
     0.00%  spindec  mca_pml_ob1.so                  [.] pthread_mutex_destroy@plt
     0.00%  spindec  libevent_core-2.1.so.7.0.1      [.] poll_dispatch
     0.00%  spindec  mca_allocator_bucket.so         [.] mca_allocator_bucket_alloc_wrapper
     0.00%  spindec  libnetcdf.so.19                 [.] read@plt
     0.00%  spindec  spindec                         [.] __io_MOD_write_netcdf_parts
     0.00%  spindec  mca_pml_ob1.so                  [.] pthread_cond_destroy@plt
     0.00%  spindec  libnetcdff.so.7.0.0             [.] _gfortran_shape_4@plt
     0.00%  spindec  libnetcdf.so.19                 [.] v1h_get_NC_string
     0.00%  spindec  libnetcdf.so.19                 [.] nclistfreeall@plt
     0.00%  spindec  libnetcdf.so.19                 [.] ncuriparse
     0.00%  spindec  libnetcdf.so.19                 [.] NC_check_voffs@plt
     0.00%  spindec  libnetcdf.so.19                 [.] nc_utf8proc_decompose_char@plt
     0.00%  spindec  libmpi.so.40.30.3               [.] pthread_cond_init@plt
     0.00%  spindec  mca_pml_ob1.so                  [.] memcpy@plt
     0.00%  spindec  libnetcdff.so.7.0.0             [.] __netcdf_MOD_nf90_put_var_eightbytereal
     0.00%  spindec  mca_pml_ob1.so                  [.] pthread_cond_signal@plt
     0.00%  spindec  mca_pml_ob1.so                  [.] opal_convertor_prepare_for_send@plt
     0.00%  spindec  libopen-pal.so.40.30.2          [.] free@plt
     0.00%  spindec  libnetcdf.so.19                 [.] NC_open@plt
     0.00%  spindec  libnetcdf.so.19                 [.] ncio_px_new
     0.00%  spindec  libc.so.6                       [.] getenv
     0.00%  spindec  libnetcdff.so.7.0.0             [.] nf_open_
     0.00%  spindec  libnetcdff.so.7.0.0             [.] nc_inq_varid@plt
     0.00%  spindec  libnetcdff.so.7.0.0             [.] nc_inq_varndims@plt
     0.00%  spindec  libnetcdf.so.19                 [.] NC3_inq_var
     0.00%  spindec  libevent_core-2.1.so.7.0.1      [.] evutil_gettime_monotonic_@plt
     0.00%  spindec  libc.so.6                       [.] strdup
     0.00%  spindec  libc.so.6                       [.] __pthread_getspecific
     0.00%  spindec  libc.so.6                       [.] strspn
     0.00%  mpirun   ld-linux-x86-64.so.2            [.] _dl_rtld_di_serinfo
     0.00%  spindec  mca_pml_ob1.so                  [.] opal_convertor_unpack@plt
     0.00%  spindec  spindec                         [.] malloc@plt
     0.00%  spindec  libmpi.so.40.30.3               [.] ompi_sync_wait_mt@plt
     0.00%  spindec  ld-linux-x86-64.so.2            [.] _dl_deallocate_tls
     0.00%  spindec  spindec                         [.] mpi_send_@plt
     0.00%  spindec  mca_pml_ob1.so                  [.] mca_pml_ob1_recv_req_start@plt
     0.00%  spindec  libc.so.6                       [.] fstat
     0.00%  spindec  libnetcdf.so.19                 [.] nc_utf8proc_encode_char
     0.00%  spindec  mca_pml_ob1.so                  [.] mca_pml_ob1_send_request_start_prepare@plt
     0.00%  spindec  libgomp.so.1.0.0                [.] malloc@plt
     0.00%  spindec  libnetcdf.so.19                 [.] ncx_len_NC_attrV
     0.00%  spindec  libnetcdf.so.19                 [.] free_NC_attrarrayV
     0.00%  spindec  libnetcdf.so.19                 [.] add_to_NCList
     0.00%  spindec  libopen-pal.so.40.30.2          [.] opal_class_initialize
     0.00%  spindec  libnetcdf.so.19                 [.] find_in_NCList
     0.00%  spindec  libmpi_mpifh.so.40.30.0         [.] PMPI_Send@plt
     0.00%  spindec  spindec                         [.] memset@plt
     0.00%  spindec  libc.so.6                       [.] __open
     0.00%  spindec  libnetcdf.so.19                 [.] fault_v1hs
     0.00%  spindec  libmpi.so.40.30.3               [.] pthread_mutex_init@plt
     0.00%  spindec  ld-linux-x86-64.so.2            [.] __nptl_change_stack_perm
     0.00%  spindec  mca_pml_ob1.so                  [.] mca_pml_ob1_recv_request_progress_match@plt
     0.00%  spindec  libnetcdf.so.19                 [.] memset@plt
     0.00%  spindec  libnetcdf.so.19                 [.] free_NC_vararrayV@plt
     0.00%  spindec  libevent_core-2.1.so.7.0.1      [.] gettime
     0.00%  spindec  libnetcdf.so.19                 [.] nctypelen
     0.00%  spindec  libgomp.so.1.0.0                [.] 0x000000000000b700
     0.00%  spindec  libnetcdf.so.19                 [.] nclistfree@plt
     0.00%  spindec  libnetcdf.so.19                 [.] nc_open
     0.00%  spindec  libnetcdf.so.19                 [.] NC_var_shape
     0.00%  spindec  libnetcdf.so.19                 [.] ncx_getn_float_float
     0.00%  spindec  libnetcdf.so.19                 [.] nc_utf8proc_iterate
     0.00%  spindec  libnetcdf.so.19                 [.] nc_utf8proc_reencode
     0.00%  spindec  libnetcdf.so.19                 [.] ncx_pad_getn_void
     0.00%  spindec  libgfortran.so.5.0.0            [.] _gfortran_string_len_trim
     0.00%  spindec  libc.so.6                       [.] sysconf
     0.00%  spindec  libc.so.6                       [.] fclose
     0.00%  spindec  libc.so.6                       [.] getpagesize
     0.00%  spindec  libmpi_mpifh.so.40.30.0         [.] PMPI_Recv@plt
     0.00%  spindec  libmpi_mpifh.so.40.30.0         [.] PMPI_Op_f2c@plt
     0.00%  mpirun   libhwloc.so.15.5.2              [.] cpuid_or_from_dump
     0.00%  spindec  libnetcdf.so.19                 [.] readmagic
     0.00%  spindec  libc.so.6                       [.] _IO_file_seekoff
     0.00%  spindec  ld-linux-x86-64.so.2            [.] _dl_debug_state
     0.00%  spindec  libnetcdf.so.19                 [.] v1h_get_NCtype.constprop.10
     0.00%  spindec  libnetcdff.so.7.0.0             [.] _gfortran_concat_string@plt
     0.00%  spindec  libnetcdf.so.19                 [.] NC_check_vlen@plt
     0.00%  spindec  libnetcdf.so.19                 [.] ncx_szof
     0.00%  spindec  libc.so.6                       [.] __libc_realloc
     0.00%  spindec  libnetcdf.so.19                 [.] nc_inq_varid
     0.00%  spindec  libc.so.6                       [.] fseek
     0.00%  spindec  libnetcdff.so.7.0.0             [.] nf_put_var1_double_@plt
     0.00%  spindec  libgomp.so.1.0.0                [.] 0x000000000000e683
     0.00%  spindec  libmpi.so.40.30.3               [.] free@plt
     0.00%  spindec  mca_btl_vader.so                [.] pthread_mutex_unlock@plt
     0.00%  spindec  mca_allocator_bucket.so         [.] pthread_mutex_lock@plt
     0.00%  spindec  libnetcdf.so.19                 [.] nc_utf8proc_map
     0.00%  spindec  spindec                         [.] __cahn_hilliard_MOD_dq_dx
     0.00%  spindec  mca_coll_tuned.so               [.] ompi_coll_tuned_reduce_intra_do_this
     0.00%  spindec  libnetcdf.so.19                 [.] NCcoordck.isra.3.part.4
     0.00%  spindec  libgomp.so.1.0.0                [.] 0x000000000000e678
     0.00%  spindec  libnetcdf.so.19                 [.] ncx_getn_schar_schar@plt
     0.00%  spindec  spindec                         [.] memcpy@plt
     0.00%  spindec  libnetcdf.so.19                 [.] NC_crc64@plt
     0.00%  spindec  libnetcdf.so.19                 [.] ncio_px_close
     0.00%  mpirun   ld-linux-x86-64.so.2            [.] _dl_catch_error
     0.00%  spindec  mca_coll_tuned.so               [.] ompi_coll_base_reduce_intra_binary@plt
     0.00%  spindec  libnetcdf.so.19                 [.] NC_findattr@plt
     0.00%  spindec  libnetcdf.so.19                 [.] posixio_open@plt
     0.00%  spindec  libnetcdf.so.19                 [.] ncio_rel
     0.00%  spindec  libnetcdf.so.19                 [.] ncx_get_uint32
     0.00%  spindec  libnetcdf.so.19                 [.] NC3_open
     0.00%  spindec  libnetcdf.so.19                 [.] NC_hashmapnew@plt
     0.00%  spindec  libnetcdf.so.19                 [.] NCedgeck.isra.0
     0.00%  spindec  libevent_core-2.1.so.7.0.1      [.] memcpy@plt
     0.00%  spindec  spindec                         [.] __cahn_hilliard_MOD_dm_dx
     0.00%  spindec  libc.so.6                       [.] __underflow
     0.00%  spindec  libnetcdff.so.7.0.0             [.] _gfortran_string_scan@plt
     0.00%  spindec  libnetcdf.so.19                 [.] malloc@plt
     0.00%  spindec  libnetcdf.so.19                 [.] NC_check_voffs
     0.00%  spindec  libc.so.6                       [.] _IO_fread
     0.00%  spindec  libnetcdff.so.7.0.0             [.] nf_put_vara_double_
     0.00%  spindec  libgfortran.so.5.0.0            [.] memcpy@plt
     0.00%  spindec  libnetcdf.so.19                 [.] ncuriparse@plt
     0.00%  spindec  libnetcdf.so.19                 [.] ncx_howmany@plt
     0.00%  spindec  libnetcdf.so.19                 [.] memcmp@plt
     0.00%  spindec  libnetcdff.so.7.0.0             [.] nf_inq_varid_@plt
     0.00%  spindec  libnetcdf.so.19                 [.] ncx_len_NC_attrarray
     0.00%  spindec  libgfortran.so.5.0.0            [.] pthread_getspecific@plt
     0.00%  spindec  spindec                         [.] __grid_MOD_grid_init.constprop.0
     0.00%  spindec  libnetcdf.so.19                 [.] writeNCv
     0.00%  spindec  libnetcdf.so.19                 [.] write_numrecs@plt
     0.00%  spindec  libnetcdf.so.19                 [.] fopen64@plt
     0.00%  spindec  mca_btl_vader.so                [.] memcpy@plt
     0.00%  spindec  libevent_core-2.1.so.7.0.1      [.] clock_gettime@plt
     0.00%  spindec  libnetcdf.so.19                 [.] free_NC_dimarrayV0@plt
     0.00%  spindec  libevent_core-2.1.so.7.0.1      [.] evutil_gettime_monotonic_
     0.00%  spindec  libevent_core-2.1.so.7.0.1      [.] poll@plt
     0.00%  spindec  libc.so.6                       [.] _IO_file_fopen
     0.00%  spindec  libnetcdf.so.19                 [.] NC_check_vlen
     0.00%  spindec  libnetcdf.so.19                 [.] new_x_NC_dim@plt
     0.00%  spindec  libnetcdf.so.19                 [.] __fxstat64@plt
     0.00%  spindec  libnetcdf.so.19                 [.] ncx_get_size_t@plt
     0.00%  spindec  libnetcdf.so.19                 [.] elem_NC_dimarray
     0.00%  spindec  libnetcdf.so.19                 [.] NC3_inq_var_all
     0.00%  spindec  libnetcdf.so.19                 [.] nc_utf8_normalize@plt
